index,uuid,driver_version,name,gpu_serial,display_active,display_mode
2,GPU-af3a4183-2ea1-ff77-9754-6eb839e0d6f2,550.107.02,NVIDIA GeForce RTX 4090,[N/A],Disabled,Disabled
3,GPU-c1561944-bdd2-46a5-f659-b20a0cb823fb,550.107.02,NVIDIA GeForce RTX 4090,[N/A],Enabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
3,98,24564,9872,14337,2025/06/15 21:46:17.251
2,71,24564,9554,14657,2025/06/15 21:46:22.297
3,69,24564,9872,14337,2025/06/15 21:46:22.298
2,73,24564,9554,14657,2025/06/15 21:46:27.364
3,71,24564,9871,14338,2025/06/15 21:46:27.365
2,0,24564,9554,14657,2025/06/15 21:46:32.430
3,100,24564,9872,14337,2025/06/15 21:46:32.431
2,0,24564,9554,14657,2025/06/15 21:46:37.501
3,100,24564,9872,14337,2025/06/15 21:46:37.501
2,43,24564,9554,14657,2025/06/15 21:46:42.549
3,45,24564,9871,14338,2025/06/15 21:46:42.550
2,93,24564,9554,14657,2025/06/15 21:46:47.617
3,88,24564,9871,14337,2025/06/15 21:46:47.618
2,72,24564,9554,14657,2025/06/15 21:46:52.684
3,76,24564,9872,14337,2025/06/15 21:46:52.685
2,0,24564,9554,14657,2025/06/15 21:46:57.760
3,3,24564,9871,14338,2025/06/15 21:46:57.762
2,0,24564,9554,14657,2025/06/15 21:47:02.821
3,100,24564,9873,14336,2025/06/15 21:47:02.822
2,0,24564,9554,14657,2025/06/15 21:47:07.891
3,100,24564,9871,14337,2025/06/15 21:47:07.892
2,35,24564,9554,14657,2025/06/15 21:47:12.958
3,40,24564,9871,14338,2025/06/15 21:47:12.958
2,68,24564,9554,14657,2025/06/15 21:47:18.007
3,68,24564,9873,14336,2025/06/15 21:47:18.008
2,100,24564,9554,14657,2025/06/15 21:47:23.077
3,98,24564,9872,14337,2025/06/15 21:47:23.078
2,44,24564,9554,14657,2025/06/15 21:47:28.139
3,45,24564,9871,14337,2025/06/15 21:47:28.139
2,0,24564,9554,14657,2025/06/15 21:47:33.218
3,100,24564,9872,14336,2025/06/15 21:47:33.219
2,0,24564,9554,14657,2025/06/15 21:47:38.277
3,100,24564,9873,14335,2025/06/15 21:47:38.278
2,100,24564,9554,14657,2025/06/15 21:47:43.346
3,100,24564,9872,14337,2025/06/15 21:47:43.347
2,99,24564,9554,14657,2025/06/15 21:47:48.415
3,100,24564,9871,14338,2025/06/15 21:47:48.416
2,38,24564,9554,14657,2025/06/15 21:47:53.466
3,44,24564,9872,14337,2025/06/15 21:47:53.468
2,0,24564,9554,14657,2025/06/15 21:47:58.538
3,76,24564,9871,14338,2025/06/15 21:47:58.539
2,0,24564,9554,14657,2025/06/15 21:48:03.602
3,100,24564,9873,14336,2025/06/15 21:48:03.602
2,64,24564,9554,14657,2025/06/15 21:48:08.648
3,68,24564,9871,14337,2025/06/15 21:48:08.649
2,36,24564,9554,14657,2025/06/15 21:48:13.701
3,41,24564,9871,14337,2025/06/15 21:48:13.702
2,100,24564,9554,14657,2025/06/15 21:48:18.770
3,100,24564,9871,14338,2025/06/15 21:48:18.771
2,4,24564,9554,14657,2025/06/15 21:48:23.823
3,3,24564,9871,14338,2025/06/15 21:48:23.824
2,0,24564,9554,14657,2025/06/15 21:48:28.876
3,100,24564,9873,14335,2025/06/15 21:48:28.877
2,100,24564,9554,14657,2025/06/15 21:48:33.933
3,100,24564,9871,14337,2025/06/15 21:48:33.935
2,100,24564,9554,14657,2025/06/15 21:48:39.004
3,100,24564,9871,14338,2025/06/15 21:48:39.005
2,73,24564,9554,14657,2025/06/15 21:48:44.053
3,79,24564,9871,14337,2025/06/15 21:48:44.055
2,45,24564,9554,14657,2025/06/15 21:48:49.120
3,66,24564,9871,14337,2025/06/15 21:48:49.121
2,3,24564,9554,14657,2025/06/15 21:48:54.187
3,100,24564,9873,14336,2025/06/15 21:48:54.188
2,43,24564,9554,14657,2025/06/15 21:48:59.243
3,44,24564,9873,14335,2025/06/15 21:48:59.244
2,81,24564,9554,14657,2025/06/15 21:49:04.313
3,86,24564,9872,14337,2025/06/15 21:49:04.314
2,52,24564,9554,14657,2025/06/15 21:49:09.386
3,55,24564,9871,14338,2025/06/15 21:49:09.387
2,66,24564,9554,14657,2025/06/15 21:49:14.428
3,50,24564,9873,14336,2025/06/15 21:49:14.430
2,0,24564,9554,14657,2025/06/15 21:49:19.477
3,100,24564,9873,14335,2025/06/15 21:49:19.477
2,0,24564,9554,14657,2025/06/15 21:49:24.516
3,100,24564,9871,14337,2025/06/15 21:49:24.516
2,100,24564,9554,14657,2025/06/15 21:49:29.591
3,100,24564,9871,14337,2025/06/15 21:49:29.592
2,100,24564,9554,14657,2025/06/15 21:49:34.661
3,92,24564,9872,14337,2025/06/15 21:49:34.662
2,100,24564,9554,14657,2025/06/15 21:49:39.731
3,100,24564,9871,14337,2025/06/15 21:49:39.733
2,4,24564,9554,14657,2025/06/15 21:49:44.800
3,3,24564,9871,14338,2025/06/15 21:49:44.801
2,0,24564,9554,14657,2025/06/15 21:49:49.843
3,100,24564,9872,14337,2025/06/15 21:49:49.844
2,0,24564,9554,14657,2025/06/15 21:49:54.913
3,100,24564,9871,14337,2025/06/15 21:49:54.914
2,0,24564,9554,14657,2025/06/15 21:49:59.969
3,100,24564,9871,14338,2025/06/15 21:49:59.970
2,98,24564,9554,14657,2025/06/15 21:50:05.031
3,100,24564,9872,14337,2025/06/15 21:50:05.032
2,100,24564,9554,14657,2025/06/15 21:50:10.102
3,100,24564,9872,14337,2025/06/15 21:50:10.104
2,81,24564,9554,14657,2025/06/15 21:50:15.157
3,78,24564,9872,14336,2025/06/15 21:50:15.158
2,37,24564,9554,14657,2025/06/15 21:50:20.223
3,41,24564,9873,14335,2025/06/15 21:50:20.224
2,0,24564,9554,14657,2025/06/15 21:50:25.283
3,38,24564,9872,14337,2025/06/15 21:50:25.284
2,0,24564,9554,14657,2025/06/15 21:50:30.326
3,100,24564,9873,14336,2025/06/15 21:50:30.327
2,26,24564,9554,14657,2025/06/15 21:50:35.396
3,31,24564,9873,14336,2025/06/15 21:50:35.398
2,100,24564,9554,14657,2025/06/15 21:50:40.444
3,99,24564,9873,14335,2025/06/15 21:50:40.445
2,100,24564,9554,14657,2025/06/15 21:50:45.512
3,100,24564,9872,14336,2025/06/15 21:50:45.513
2,45,24564,9554,14657,2025/06/15 21:50:50.566
3,88,24564,9871,14338,2025/06/15 21:50:50.567
2,0,24564,9554,14657,2025/06/15 21:50:55.630
3,100,24564,9873,14336,2025/06/15 21:50:55.631
2,100,24564,9554,14657,2025/06/15 21:51:00.694
3,100,24564,9871,14337,2025/06/15 21:51:00.695
2,29,24564,9554,14657,2025/06/15 21:51:05.764
3,37,24564,9871,14338,2025/06/15 21:51:05.765
2,90,24564,9554,14657,2025/06/15 21:51:10.829
